Date,Player,Opp,Shift_Count,Total_TOI,EV_TOI,PP_TOI,SH_TOI,Lineup,Score_For,Score_Against,Result,Goals,Assists,Points,+/-,SOG,Att_Blocked,Missed_Shots,Hits,Giveaways,Takeaways,Blocked_Shots,Faceoff_Won,Faceoff_Loss,Faceoff_Pct
10/14/24,Crosby,MTL,22,19.55,17.5,2,0.05,12-6,6,3,W,0,0,0,0,0,2,2,3,5,0,1,15,6,71
10/12/24,Rakell,TOR,18,13.63,11.58,2.05,0,12-6,2,4,L,1,0,1,-1,2,1,0,0,0,0,0,0,0,
10/12/24,Malkin,TOR,21,18.83,14.13,4.7,0,12-6,2,4,L,0,2,2,-1,1,1,1,0,0,0,0,3,5,38
10/12/24,Crosby,TOR,23,21,15.97,4.7,0.33,12-6,2,4,L,0,1,1,-1,3,0,1,2,0,0,1,8,11,42
10/10/24,Rakell,DET,22,17.25,15.33,1.92,0,12-6,6,3,W,0,0,0,2,1,0,0,1,0,0,0,0,0,
10/10/24,Malkin,DET,20,16.1,13.57,2.45,0.08,12-6,6,3,W,0,2,2,0,3,1,0,0,0,0,1,6,6,50
10/10/24,Crosby,DET,24,18.15,15.95,2,0.2,12-6,6,3,W,0,2,2,3,4,0,1,0,2,0,0,16,14,53
10/9/24,Rakell,NYR,17,16.38,12.65,3.73,0,12-6,0,6,L,0,0,0,-1,1,1,3,3,1,0,0,0,0,
10/9/24,Malkin,NYR,21,17.33,13.58,3.75,0,12-6,0,6,L,0,0,0,-3,1,0,0,1,0,0,1,3,6,33
10/9/24,Crosby,NYR,23,20.98,17.25,3.72,0.02,12-6,0,6,L,0,0,0,-2,2,1,4,2,1,1,1,10,15,40
4/17/24,Rakell,NYI,20,14.43,14.43,0,0,12-6,4,5,L,1,0,1,0,3,2,0,1,0,0,1,0,0,
4/17/24,Malkin,NYI,24,18.52,16.33,2.18,0,12-6,4,5,L,1,1,2,0,5,1,0,0,1,1,0,8,4,67
4/17/24,Crosby,NYI,22,19.78,17.6,2.18,0,12-6,4,5,L,0,2,2,-1,3,1,2,3,2,0,0,12,10,55
4/15/24,Rakell,NSH,18,14.75,13.23,1.52,0,12-6,4,2,W,0,0,0,0,1,1,2,2,0,0,0,0,0,
4/15/24,Malkin,NSH,19,20.17,13.98,6.11,0,12-6,4,2,W,0,0,0,0,4,2,1,0,0,0,1,3,5,38
4/15/24,Crosby,NSH,25,20.88,15.18,5.67,0.03,12-6,4,2,W,1,1,2,-1,7,3,0,0,1,2,0,18,5,78
4/13/24,Rakell,BOS,21,14.65,13.13,1.52,0,12-6,4,6,L,0,1,1,-1,0,3,1,1,0,0,0,0,1,0
4/13/24,Malkin,BOS,25,18.07,16.35,1.72,0,12-6,4,6,L,1,1,2,-2,1,2,1,0,0,4,2,7,8,47
4/13/24,Crosby,BOS,25,19.8,17.87,1.73,0.2,12-6,4,6,L,0,1,1,-1,1,2,0,4,1,1,0,8,12,40
4/11/24,Rakell,DET,28,18.18,16.6,1.58,0,12-6,6,5,OTW,0,2,2,1,3,1,1,0,1,0,1,0,0,
4/11/24,Malkin,DET,28,20.35,18.28,2.07,0,12-6,6,5,OTW,0,0,0,0,3,1,2,2,0,2,1,8,8,50
4/11/24,Crosby,DET,29,19.58,17.48,2.03,0.07,12-6,6,5,OTW,1,2,3,0,5,2,2,2,0,2,0,6,14,30
4/8/24,Rakell,TOR,25,18.15,14.72,3.43,0,12-6,2,3,OTL,1,0,1,1,4,1,1,0,1,0,0,0,0,
4/8/24,Malkin,TOR,24,22.07,15.77,6.3,0,12-6,2,3,OTL,0,1,1,1,3,0,1,1,1,3,0,8,8,50
4/8/24,Crosby,TOR,25,21.25,15.18,6.07,0,12-6,2,3,OTL,0,1,1,1,1,1,4,2,1,1,1,10,12,45
4/6/24,Rakell,TBL,22,16.55,15.35,1.2,0,12-6,5,4,W,0,0,0,2,1,3,0,4,0,0,3,0,0,
4/6/24,Malkin,TBL,22,18.15,15.43,2.72,0,12-6,5,4,W,2,1,3,2,5,1,1,0,0,0,0,5,8,38
